date,state,city,place_type,confirmed,deaths,is_last,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2021-05-07,AC,,state,79100,1575,True,894470,12,8843.2256,0.0199
2021-05-07,AL,,state,178288,4347,True,3351543,27,5319.57967,0.0244
2021-05-07,AM,,state,374577,12716,True,4207714,13,8902.14972,0.0339
2021-05-07,AP,,state,107377,1578,True,861773,16,12460.00977,0.0147
2021-05-07,BA,,state,925001,19071,True,14930634,29,6195.32298,0.0206
2021-05-07,CE,,state,706540,18429,True,9187103,23,7690.56361,0.0261
2021-05-07,DF,,state,384851,8056,True,3055149,53,12596.7997,0.0209
2021-05-07,ES,,state,446608,9835,True,4064052,32,10989.22947,0.022
2021-05-07,GO,,state,566342,15544,True,7113540,52,7961.46504,0.0274
2021-05-07,MA,,state,272523,7503,True,7114598,21,3830.47644,0.0275
2021-05-07,MG,,state,1404219,35424,True,21292666,31,6594.8482,0.0252
2021-05-07,MT,,state,371781,10076,True,3526220,51,10543.32968,0.0271
2021-05-07,PA,,state,483623,13511,True,8690745,15,5564.80486,0.0279
2021-05-07,PB,,state,299903,6996,True,4039277,25,7424.67031,0.0233
2021-05-07,PE,,state,420766,14434,True,9616621,26,4375.40379,0.0343
2021-05-07,PI,Acauã,city,175,1,True,7102,2200053,2464.09462,0.0057
2021-05-07,PI,Agricolândia,city,385,3,True,5131,2200103,7503.41064,0.0078
2021-05-07,PI,Água Branca,city,1327,59,True,17470,2200202,7595.87865,0.0445
2021-05-07,PI,Alagoinha do Piauí,city,275,9,True,7665,2200251,3587.73646,0.0327
2021-05-07,PI,Alegrete do Piauí,city,472,5,True,4918,2200277,9597.39732,0.0106
2021-05-07,PI,Alto Longá,city,565,13,True,14339,2200301,3940.30267,0.023
2021-05-07,PI,Altos,city,3868,78,True,40605,2200400,9525.92045,0.0202
2021-05-07,PI,Alvorada do Gurguéia,city,284,8,True,5445,2200459,5215.79431,0.0282
2021-05-07,PI,Amarante,city,1325,30,True,17604,2200509,7526.69848,0.0226
2021-05-07,PI,Angical do Piauí,city,560,8,True,6783,2200608,8255.93395,0.0143
2021-05-07,PI,Anísio de Abreu,city,284,8,True,9938,2200707,2857.71785,0.0282
2021-05-07,PI,Antônio Almeida,city,401,10,True,3170,2200806,12649.84227,0.0249
2021-05-07,PI,Aroazes,city,525,12,True,5827,2200905,9009.78205,0.0229
2021-05-07,PI,Aroeiras do Itaim,city,98,2,True,2551,2200954,3841.63073,0.0204
2021-05-07,PI,Arraial,city,138,2,True,4720,2201002,2923.72881,0.0145
2021-05-07,PI,Assunção do Piauí,city,295,6,True,7863,2201051,3751.7487,0.0203
